predictions,labels
"['surname_household', 'firstname', 'occupation', 'link', 'age']","['surname_household', 'firstname', 'occupation', 'link', 'age']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'link', 'age']","['surname', 'firstname', 'link', 'age']"
"['surname_household', 'firstname', 'occupation', 'age']","['surname_household', 'firstname', 'occupation', 'age']"
"['surname', 'firstname', 'link', 'age', 'civil_status']","['surname', 'firstname', 'link', 'age', 'civil_status']"
"['surname_household', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname_household', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'link', 'employer', 'age']","['surname', 'firstname', 'occupation', 'link', 'employer', 'age']"
"['civil_status', 'firstname', 'occupation', 'birth_date', 'civil_status', 'lob']","['surname', 'firstname', 'occupation', 'birth_date', 'civil_status', 'lob']"
"['surname_household', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname_household', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname_household', 'firstname', 'occupation', 'link', 'age']","['surname_household', 'firstname', 'occupation', 'link', 'age']"
"['surname', 'firstname', 'link', 'age', 'civil_status']","['surname', 'firstname', 'link', 'age', 'civil_status']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'link', 'age']","['surname', 'firstname', 'link', 'age']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname_household', 'firstname', 'occupation', 'link', 'employer', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'employer', 'birth_date', 'nationality']"
"['surname_household', 'firstname', 'occupation', 'civil_status']","['surname', 'firstname', 'occupation', 'civil_status']"
"['surname', 'firstname', 'occupation', 'link', 'employer', 'age']","['surname', 'firstname', 'occupation', 'link', 'employer', 'birth_date']"
"['surname', 'firstname', 'occupation', 'link']","['surname', 'firstname', 'occupation', 'link']"
"['surname', 'firstname', 'link', 'age']","['surname', 'firstname', 'link', 'age']"
"['surname', 'firstname', 'link', 'age']","['surname', 'firstname', 'link', 'age']"
"['surname_household', 'firstname', 'occupation', 'link', 'employer', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'employer', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'age']","['surname', 'firstname', 'link', 'age']"
"['surname', 'firstname', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'link']","['surname', 'firstname', 'link']"
"['surname', 'firstname', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'link', 'age']","['surname', 'firstname', 'occupation', 'link', 'age']"
"['surname', 'firstname', 'age']","['surname', 'firstname', 'age']"
"['surname', 'firstname', 'link', 'age', 'civil_status']","['surname', 'firstname', 'link', 'age', 'civil_status']"
"['surname', 'firstname', 'link', 'age', 'civil_status']","['surname', 'firstname', 'link', 'age', 'civil_status']"
"['surname', 'firstname', 'link', 'age']","['surname', 'firstname', 'link', 'age']"
"['surname_household', 'firstname', 'occupation', 'link', 'employer']","['surname_household', 'firstname', 'occupation', 'link', 'employer']"
"['surname', 'firstname', 'occupation', 'link', 'age']","['surname_household', 'firstname', 'occupation', 'link', 'age']"
"['surname', 'firstname', 'link', 'age']","['surname', 'firstname', 'link', 'age']"
"['surname', 'firstname', 'link', 'age', 'civil_status']","['surname', 'firstname', 'link', 'age', 'civil_status']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'link']","['surname', 'firstname', 'occupation', 'link']"
"['surname', 'firstname', 'occupation', 'link', 'age']","['surname', 'firstname', 'occupation', 'link', 'age']"
"['surname', 'firstname', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'age']","['surname', 'firstname', 'occupation', 'age']"
"['surname', 'firstname', 'maiden_name', 'birth_date']","['surname', 'firstname', 'link', 'birth_date']"
"['surname', 'firstname', 'occupation', 'link', 'age']","['surname', 'firstname', 'occupation', 'link', 'age']"
"['surname', 'firstname', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'age']","['surname', 'firstname', 'occupation', 'age']"
"['surname', 'firstname', 'occupation', 'link', 'employer', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'employer', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'age', 'civil_status']","['surname', 'firstname', 'link', 'age', 'civil_status']"
"['surname', 'firstname', 'occupation', 'age']","['surname_household', 'firstname', 'occupation', 'age']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname_household', 'firstname', 'occupation', 'link', 'employer', 'birth_date', 'nationality']","['surname_household', 'firstname', 'occupation', 'link', 'employer', 'birth_date', 'nationality']"
"['surname_household', 'firstname', 'occupation', 'link', 'employer', 'birth_date', 'nationality']","['surname_household', 'firstname', 'occupation', 'link', 'employer', 'birth_date', 'nationality']"
"['surname_household', 'firstname', 'occupation', 'link', 'age']","['surname_household', 'firstname', 'occupation', 'link', 'age']"
['surname'],['surname']
"['surname', 'firstname', 'link', 'employer', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'employer', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation']","['surname', 'firstname', 'occupation']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname_household', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname_household', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname_household', 'firstname', 'occupation', 'link', 'age']","['surname_household', 'firstname', 'occupation', 'link', 'age']"
"['surname', 'firstname', 'link', 'age']","['surname', 'firstname', 'link', 'age']"
"['surname', 'firstname', 'link', 'age']","['surname', 'firstname', 'link', 'age']"
"['surname_household', 'firstname', 'occupation', 'age']","['surname_household', 'firstname', 'occupation', 'age']"
"['surname_household', 'firstname', 'occupation', 'age']","['surname_household', 'firstname', 'occupation', 'age']"
"['surname', 'firstname', 'link', 'age']","['surname', 'firstname', 'link', 'age']"
"['surname', 'firstname', 'link', 'age']","['surname', 'firstname', 'link', 'age']"
"['surname_household', 'firstname', 'occupation', 'link', 'age']","['surname_household', 'firstname', 'occupation', 'link', 'age']"
"['firstname', 'occupation', 'link', 'birth_date']","['firstname', 'occupation', 'link', 'birth_date']"
"['surname', 'firstname', 'occupation', 'link', 'age']","['surname', 'firstname', 'occupation', 'link', 'age']"
"['surname', 'firstname', 'occupation', 'age', 'nationality']","['surname', 'firstname', 'occupation', 'age', 'nationality']"
"['surname_household', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname_household', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
"['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']","['surname', 'firstname', 'occupation', 'link', 'birth_date', 'nationality']"
['age'],['age']
